datetime,NEE,NEE_F_MDS,FCH4,FCH4_F_MDS
2021-05-30T12:30:00Z,-1.7770159,-1.7770159,0.09939499,0.09939499
2021-05-30T13:00:00Z,-8.189788100000001,-8.189788100000001,NA,0.10287258650588237
2021-05-30T13:30:00Z,-0.1869266,-0.1869266,0.08384943,0.08384943
2021-05-30T14:00:00Z,-4.3186154,-4.3186154,0.114872265,0.114872265
2021-05-30T14:30:00Z,-3.576463,-3.576463,0.106923101,0.106923101
2021-05-30T15:00:00Z,-4.6723862,-4.6723862,0.128946327,0.128946327
2021-05-30T15:30:00Z,-2.931823,-2.931823,0.13321417,0.13321417
2021-05-30T16:00:00Z,-1.9701862,-1.9701862,0.116100315,0.116100315
2021-05-30T16:30:00Z,-0.98294167,-0.98294167,0.138079382,0.138079382
2021-05-30T17:00:00Z,0.06379259999999999,0.06379259999999999,0.13229918,0.13229918
2021-05-30T17:30:00Z,0.9711234,0.9711234,0.109092731,0.109092731
2021-05-30T18:00:00Z,1.0625972,1.0625972,0.134474904,0.134474904
2021-05-30T18:30:00Z,2.813343,2.813343,0.130502639,0.130502639
2021-05-30T19:00:00Z,4.204407600000001,4.204407600000001,0.121567794,0.121567794
2021-05-30T19:30:00Z,5.4175411,5.4175411,0.1072798071,0.1072798071
2021-05-30T20:00:00Z,7.0408763,7.0408763,0.091602478,0.091602478
2021-05-30T20:30:00Z,8.0112763,8.0112763,0.073883035,0.073883035
2021-05-30T21:00:00Z,8.30227,8.30227,0.06677965000000001,0.06677965000000001
2021-05-30T21:30:00Z,9.134994,9.134994,0.07521964,0.07521964
2021-05-30T22:00:00Z,8.642898,8.642898,0.06868777,0.06868777
2021-05-30T22:30:00Z,9.677949000000002,9.677949000000002,0.077742566,0.077742566
2021-05-30T23:00:00Z,8.437085999999999,8.437085999999999,0.06763503,0.06763503
2021-05-30T23:30:00Z,8.680520000000001,8.680520000000001,0.06082673,0.06082673
2021-05-31T00:00:00Z,7.915877,7.915877,0.0661992,0.0661992
2021-05-31T00:30:00Z,8.553736,8.553736,0.07792454,0.07792454
